Subject,Target,Test Loss,Test Accuracy,Test F1 score,Predicted class 0,Predicted class 1,Predicted class 2,Predicted class 3,Predicted class 4
scaler_005PD_ML.csv,4,1.9452,0.1247,0.2218,0,144,94,1334,224
scaler_007PD_MD.csv,4,1.5484,0.2430,0.3909,4,634,182,576,448
scaler_015KOA_EL.csv,2,1.3719,0.4695,0.6390,92,332,508,58,92
scaler_005PD_ML.csv,4,1.5026,0.2617,0.4148,10,324,214,778,470
scaler_007PD_MD.csv,4,1.5881,0.2115,0.3491,36,420,490,508,390
scaler_015KOA_EL.csv,2,1.8453,0.3882,0.5593,106,222,420,190,144
scaler_008KOA_EL.csv,2,1.0198,0.7885,0.8817,14,102,656,0,60
scaler_016KOA_MD.csv,1,1.1792,0.4212,0.5927,2,438,534,22,44
scaler_015KOA_MD.csv,1,1.3407,0.3782,0.5488,24,450,226,318,172
scaler_018KOA_MD.csv,1,1.0658,0.5359,0.6979,4,656,330,232,2
scaler_019KOA_MD.csv,1,1.2162,0.4748,0.6438,0,696,232,518,20
scaler_017KOA_MD.csv,1,1.4733,0.3133,0.4771,44,416,392,418,58
scaler_008KOA_MD.csv,1,1.2399,0.3444,0.5124,72,352,552,46,0
scaler_007KOA_MD.csv,1,1.5861,0.3180,0.4826,158,430,436,254,74
scaler_020KOA_MD.csv,1,1.9005,0.2542,0.4054,60,240,246,76,322
scaler_015KOA_SV.csv,3,1.3849,0.4246,0.5961,60,602,294,760,74
scaler_007KOA_SV.csv,3,1.1990,0.5080,0.6737,36,630,254,1022,70
scaler_021_NM.csv,0,0.0103,1.0000,1.0000,224,0,0,0,0
scaler_024_NM.csv,0,0.0143,1.0000,1.0000,230,0,0,0,0
scaler_008_NM.csv,0,2.7549,0.4471,0.6180,296,98,268,0,0
scaler_029_NM.csv,0,0.0236,1.0000,1.0000,256,0,0,0,0
scaler_027_NM.csv,0,0.0183,1.0000,1.0000,220,0,0,0,0
scaler_026_NM.csv,0,0.1969,0.9474,0.9730,288,0,16,0,0
scaler_025_NM.csv,0,0.0321,1.0000,1.0000,234,0,0,0,0
scaler_023_NM.csv,0,0.3976,0.8535,0.9210,268,0,46,0,0
scaler_019_NM.csv,0,0.1245,1.0000,1.0000,288,0,0,0,0
scaler_016_NM.csv,0,0.0186,1.0000,1.0000,210,0,0,0,0
scaler_022_NM.csv,0,0.2955,0.9213,0.9590,234,0,20,0,0
scaler_020_NM.csv,0,0.0161,1.0000,1.0000,174,0,0,0,0
scaler_017_NM.csv,0,0.0371,1.0000,1.0000,292,0,0,0,0
scaler_006_NM.csv,0,3.4049,0.2687,0.4236,172,180,288,0,0
scaler_018_NM.csv,0,1.8939,0.4421,0.6131,206,32,222,0,6
scaler_028_NM.csv,0,0.0134,1.0000,1.0000,166,0,0,0,0
scaler_004PD_MD.csv,4,1.6896,0.2315,0.3760,138,280,454,64,282
scaler_001PD_SV.csv,4,1.3892,0.2222,0.3636,0,790,448,1514,786
scaler_001PD_MD.csv,4,1.8337,0.1015,0.1843,326,240,608,242,160
scaler_003PD_MD.csv,4,1.9852,0.0665,0.1248,150,126,512,138,66
scaler_002PD_MD.csv,4,1.4292,0.4461,0.6170,142,230,484,192,844
scaler_003PD_ML.csv,4,1.5125,0.1965,0.3284,148,310,290,340,266
scaler_004PD_ML.csv,4,1.2265,0.2967,0.4576,62,154,172,1096,626
scaler_005PD_MD.csv,4,1.1217,0.2875,0.4466,68,302,180,1636,882
scaler_002PD_ML.csv,4,2.8936,0.0137,0.0270,340,42,194,0,8
scaler_001PD_ML.csv,4,2.3905,0.0000,0.0000,82,260,392,40,0
scaler_001KOA_EL.csv,2,1.6640,0.3589,0.5282,80,352,412,64,240
scaler_005KOA_EL.csv,2,2.1197,0.3509,0.5195,428,0,240,0,16
scaler_003KOA_EL.csv,2,1.0736,0.5761,0.7310,76,384,636,6,2
scaler_002KOA_MD.csv,1,1.3832,0.3224,0.4876,10,394,628,126,64
scaler_004KOA_EL.csv,2,1.8566,0.3008,0.4625,128,328,302,108,138
scaler_002KOA_EL.csv,2,1.1515,0.5392,0.7006,40,310,440,18,8
scaler_004KOA_MD.csv,1,1.2824,0.4026,0.5741,12,608,538,276,76
scaler_005KOA_MD.csv,1,1.6994,0.1695,0.2899,118,220,494,128,338
scaler_001KOA_MD.csv,1,3.3031,0.0734,0.1367,300,38,148,32,0
scaler_003KOA_MD.csv,1,1.3321,0.4659,0.6357,26,588,214,248,186
scaler_005KOA_SV.csv,3,2.3551,0.0106,0.0210,466,48,448,16,530
scaler_002KOA_SV.csv,3,0.9618,0.6197,0.7652,32,672,54,1662,262
scaler_004KOA_SV.csv,3,1.8963,0.0393,0.0756,332,78,450,62,656
scaler_001KOA_SV.csv,3,0.9912,0.6598,0.7950,8,264,216,1404,236
scaler_003KOA_SV.csv,3,1.2346,0.2014,0.3352,42,618,346,710,1810
scaler_003_NM.csv,0,0.0637,1.0000,1.0000,314,0,0,0,0
scaler_001_NM.csv,0,0.0889,0.9919,0.9959,244,0,2,0,0
scaler_004_NM.csv,0,0.8655,0.7818,0.8776,602,0,140,0,28
scaler_005_NM.csv,0,0.1014,1.0000,1.0000,298,0,0,0,0
scaler_002_NM.csv,0,0.2366,0.9381,0.9681,546,0,34,0,2
scaler_006PD_MD.csv,4,2.2127,0.0670,0.1256,66,640,196,128,74
scaler_006PD_ML.csv,4,1.8033,0.1028,0.1865,40,588,184,654,168
scaler_013KOA_EL.csv,2,1.3786,0.3062,0.4689,52,548,286,40,8
scaler_011KOA_EL.csv,2,2.2437,0.2110,0.3484,266,136,300,496,224
scaler_006KOA_EL.csv,2,1.5125,0.3542,0.5231,18,426,374,48,190
scaler_009KOA_EL.csv,2,1.5739,0.2273,0.3704,64,452,180,94,2
scaler_012KOA_EL.csv,2,1.4429,0.4960,0.6631,202,290,616,40,94
scaler_010KOA_EL.csv,2,1.5612,0.5910,0.7430,210,26,396,16,22
scaler_007KOA_EL.csv,2,1.7950,0.4361,0.6074,84,174,362,148,62
scaler_014KOA_EL.csv,2,1.8968,0.2650,0.4190,40,466,318,66,310
scaler_012KOA_MD.csv,1,1.0940,0.6605,0.7955,34,638,216,66,12
scaler_006KOA_MD.csv,1,1.5204,0.2820,0.4400,18,392,288,688,4
scaler_010KOA_MD.csv,1,1.4912,0.2801,0.4376,34,386,162,530,266
scaler_014KOA_MD.csv,1,1.3184,0.3512,0.5198,84,328,376,140,6
scaler_009KOA_MD.csv,1,1.1664,0.4404,0.6115,22,458,194,364,2
scaler_013KOA_MD.csv,1,1.1287,0.4710,0.6404,56,520,232,292,4
scaler_011KOA_MD.csv,1,1.3761,0.3917,0.5629,28,492,310,380,46
scaler_013KOA_SV.csv,3,1.2397,0.3310,0.4974,182,300,422,764,640
