Subject,Target,Test Loss,Test Accuracy,Test F1 score,Predicted class 0,Predicted class 1,Predicted class 2
scaler_006PD_MD.csv,2,1.154,0.1322,0.2336,24,934,146
scaler_006PD_ML.csv,2,0.9286,0.4431,0.6141,0,910,724
scaler_013KOA_EL.csv,1,0.6142,0.6938,0.8192,0,648,286
scaler_011KOA_EL.csv,1,0.8809,0.5837,0.7371,102,830,490
scaler_006KOA_EL.csv,1,0.6592,0.6837,0.8121,14,722,320
scaler_009KOA_EL.csv,1,0.4272,0.9091,0.9524,66,720,6
scaler_012KOA_EL.csv,1,0.7285,0.6586,0.7942,30,818,394
scaler_010KOA_EL.csv,1,1.1104,0.6657,0.7993,172,446,52
scaler_007KOA_EL.csv,1,1.1905,0.5518,0.7112,372,458,0
scaler_014KOA_EL.csv,1,0.6514,0.8067,0.893,164,968,68
scaler_012KOA_MD.csv,1,0.5115,0.8282,0.906,2,800,164
scaler_006KOA_MD.csv,1,0.5191,0.7799,0.8763,10,1084,296
scaler_010KOA_MD.csv,1,0.7887,0.4296,0.601,0,592,786
scaler_014KOA_MD.csv,1,0.8424,0.7859,0.8801,136,734,64
scaler_009KOA_MD.csv,1,0.527,0.8096,0.8948,44,842,154
scaler_013KOA_MD.csv,1,0.4248,0.8623,0.9261,26,952,126
scaler_011KOA_MD.csv,1,0.4708,0.8153,0.8982,14,1024,218
scaler_013KOA_SV.csv,1,0.7574,0.5858,0.7388,86,1352,870
scaler_008KOA_SV.csv,1,1.047,0.4155,0.5871,102,964,1254
scaler_009KOA_SV.csv,1,1.5564,0.2785,0.4356,346,704,1478
scaler_011KOA_SV.csv,1,0.576,0.7655,0.8672,88,1384,336
scaler_012KOA_SV.csv,1,0.9074,0.4346,0.6059,0,558,726
scaler_006KOA_SV.csv,1,0.5218,0.7542,0.8599,6,1074,344
scaler_010KOA_SV.csv,1,0.818,0.6194,0.7649,220,2226,1148
scaler_011_NM.csv,0,0.2287,0.9474,0.973,324,18,0
scaler_013_NM.csv,0,0.0287,0.9927,0.9963,272,2,0
scaler_009_NM.csv,0,0.0047,1.0,1.0,254,0,0
