,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
ID,1077.0,10.532033426183844,5.681456241572573,1.0,6.0,10.0,16.0,20.0,0.06102079050051536,-1.2491433570344292
Side,1077.0,1.501392757660167,0.5002303473708599,1.0,1.0,2.0,2.0,2.0,-0.005578825213396369,-2.003693213591189
Window,1077.0,161.84958217270196,102.74780378405212,0.0,72.0,156.0,240.0,480.0,0.2633566727645318,-0.7968741702899376
cnn_feat_0_mean,1077.0,0.0035855076275765896,0.004493440501391888,0.0,0.0,0.0013436040608212352,0.00662441598251462,0.020393693819642067,1.2035549879074097,0.5722972750663757
cnn_feat_0_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_0_min,1077.0,0.0035855076275765896,0.004493440501391888,0.0,0.0,0.0013436040608212352,0.00662441598251462,0.020393693819642067,1.2035549879074097,0.5722972750663757
cnn_feat_0_max,1077.0,0.0035855076275765896,0.004493440501391888,0.0,0.0,0.0013436040608212352,0.00662441598251462,0.020393693819642067,1.2035549879074097,0.5722972750663757
cnn_feat_1_mean,1077.0,0.05350710451602936,0.01243948470801115,0.027434321120381355,0.044204071164131165,0.05290386825799942,0.06284349411725998,0.09293878823518753,0.19840244948863983,-0.640720009803772
cnn_feat_1_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn_feat_1_min,1077.0,0.05350710451602936,0.01243948470801115,0.027434321120381355,0.044204071164131165,0.05290386825799942,0.06284349411725998,0.09293878823518753,0.19840244948863983,-0.640720009803772
cnn_feat_1_max,1077.0,0.05350710451602936,0.01243948470801115,0.027434321120381355,0.044204071164131165,0.05290386825799942,0.06284349411725998,0.09293878823518753,0.19840244948863983,-0.640720009803772
cnn_feat_2_mean,1077.0,0.044347815215587616,0.009175330400466919,0.013675526715815067,0.03765013441443443,0.04307923465967178,0.05284116789698601,0.06340891122817993,-0.16594913601875305,-0.654484212398529
cnn_feat_2_std,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
